                                                                    title                                                                    |                                                        override_title                                                        |                                                                                                                                                  basis                                                                                                                                                   |                                                                                                                    conclusion                                                                                                                     |       source        |                                ref                                | category 
                                                                                                                                             |                                                                                                                              |                                                                                                                                                                                                                                                                                                          |    [적용예 : ACD3(TD,OTIS)]                                                                                                                                                                                                                      +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              |                                                                                                                                                                                                                                                                                                          | ‣지역본부(지사) 승인 시:                                                                                                                                                                                                                         +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              |                                                                                                                                                                                                                                                                                                          |   “지역본부(지사)코드3자리”                                                                                                                                                                                                                      +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              |                                                                                                                                                                                                                                                                                                          |   ‧ 완성/수시(전면교체) 검사 모델 = 제어반(전기)모델 + 기계모델,                                                                                                                                                                                 +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              |                                                                                                                                                                                                                                                                                                          |    [적용예GR1(406)]                                                                                                                                                                                                                              +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              |                                                                                                                                                                                                                                                                                                          |  ‧ 제어반만 교체된 수시 검사 모델 = 제어반(전기)모델                                                                                                                                                                                             +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              |                                                                                                                                                                                                                                                                                                          |    [적용예 : ACD3(406,OTIS)]                                                                                                                                                                                                                     +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              |                                                                                                                                                                                                                                                                                                          | ‣ 모델명 생성 시 우리부(안전총괄부)로 연락 바람.                                                                                                                                                                                                 +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              |                                                                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                   |                     |                                                                   | 
 도르래 u홈, v홈의 경우 언더컷 잔여량 및 로프 단차 측정                                                                                      |                                                                                                                              | [별표1] 9.3 로프권상<div>- 언더컷 잔여량 ≥ 1 mm</div><div>- 로프단차 ≤ 2 mm</div>                                                                                                                                                                                                                        | ‣ 로프단차 : 로프현수방식 모두측정                                                                                                                                                                                                               +| 2016년 제2차 표준화 | [별표1] 9.3 로프권상 - 언더컷 잔여량 ≥ 1 mm - 로프단차 ≤ 2 mm     | 기계실
                                                                                                                                             |                                                                                                                              |                                                                                                                                                                                                                                                                                                          |   (도르래 홈 형태와 관계없이 적용)                                                                                                                                                                                                               +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              |                                                                                                                                                                                                                                                                                                          | ‣ 언더컷 잔여량 : 언더컷 형태일 경우 측정                                                                                                                                                                                                        +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              |                                                                                                                                                                                                                                                                                                          |   - 제외 : U 홈(u홈 하부에 기름 홈), V 홈, 벨트타입                                                                                                                                                                                              +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              |                                                                                                                                                                                                                                                                                                          |   - V홈이 U홈 형상으로 마모된 경우 지적                                                                                                                                                                                                           |                     |                                                                   | 
 로프단차 : 로프현수방식 모두측정                                                                                                            | 로프단차 : 로프현수방식 모두측정, 언더컷 잔여량 : 언더컷 형태일 경우 측정                                                    | <div>‣ 로프단차 : 로프현수방식 모두측정                                                                                                                                                                                                                                                                 +| ‣ 개정 현장)                                                                                                                                                                                                                                     +| 2016년 제2차 표준화 | [별표1] 7.2.3.2                                                   | 기타
                                                                                                                                             |                                                                                                                              |   (도르래 홈 형태와 관계없이 적용)                                                                                                                                                                                                                                                                      +|  - 종전검사기준 4.1.5(1)② “50 mm” 적용                                                                                                                                                                                                           +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | ‣ 언더컷 잔여량 : 언더컷 형태일 경우 측정                                                                                                                                                                                                                                                               +|     (현행 검사기준이 없어 종전검사기준 적용)                                                                                                                                                                                                     +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              |   - 제외 : U 홈(u홈 하부에 기름 홈), V 홈, 벨트타입                                                                                                                                                                                                                                                     +|  - 주무부처에 기준개정 건의                                                                                                                                                                                                                      +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              |   - V홈이 U홈 형상으로 마모된 경우 지적</div><div><br></div>[별표1] 7.2.3.2                                                                                                                                                                                                                             +|    (수직개폐식 도어의 문열림 구간 : 50 mm 이내)                                                                                                                                                                                                  +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 『수평 개폐식 및 접이식 문의 선행 문짝을 열리는 방향에서 가장 취약한 지점에 장비를 사용하지 않고 손으로 약 150 N의 힘을 가했을 때, 7.1에 규정된 틈새는 6 mm를 초과할 수 있으나 다음에서 규정한 수치는 초과할 수 없다.                                                                                   +| ‣ 종전 현장)                                                                                                                                                                                                                                     +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 가) 측면 개폐식 문 : 30 mm                                                                                                                                                                                                                                                                              +|  - 종전검사기준 4.1.5(1)② “50 mm” 적용                                                                                                                                                                                                           +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 나) 중앙 개폐식 문 : 45 mm』                                                                                                                                                                                                                                                                            +|                                                                                                                                                                                                                                                   |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | [종전검사기준] 4.1.5(1)②                                                                                                                                                                                                                                                                                +|                                                                                                                                                                                                                                                   |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 『제1항 이외의...기동하고, 승강장에서는 2㎝ 이상 열려지지 않아야 한다. 다만, 화물용(용도) 상승개폐문의 경우 5㎝ 이내까지 닫혀졌을 때 기동하고, 승강장에서는 5㎝ 이상 열려지지 않아야 한다.』                                                                                                             |                                                                                                                                                                                                                                                   |                     |                                                                   | 
 하부틈새 이외 작업자의 원활한 작업을 위한 피트 깊이에 대한 검사기준 추가 의견                                                               |                                                                                                                              | [별표1] 5.7.3.2 피트에 출입하는 수단                                                                                                                                                                                                                                                                    +| ‣ 추가 검사기준 적용 불가                                                                                                                                                                                                                        +| 2016년 제2차 표준화 | [별표1] 5.7.3.2                                                   | 피트
                                                                                                                                             |                                                                                                                              | 『가) 피트 깊이가 2.5 m를 초과하는 경우에는피트 출입문이 설치되어야 한다.                                                                                                                                                                                                                               +|   (검사기준 별표1 5.7.3.3항에 이미 작업자 및 기기보호 공간을 규정함)                                                                                                                                                                              |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 나) 피트 깊이가 2.5 m 이하인 경우에는 피트출입문 또는 점검자 등 사람이 승강장문에서 쉽게 진입할 수 있는 피트                                                                                                                                                                                            +|                                                                                                                                                                                                                                                   |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 사다리가 설치되어야 한다. 피트 출입문... 유지되어야 한다.』                                                                                                                                                                                                                                             +|                                                                                                                                                                                                                                                   |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 5.7.3.3 하부틈새                                                                                                                                                                                                                                                                                        +|                                                                                                                                                                                                                                                   |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 『카가 완전히 압축된 완충기 위에 있을 때,다음 3가지 사항이 동시에 만족되어야 한다.                                                                                                                                                                                                                      +|                                                                                                                                                                                                                                                   |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 가) 피트에는... 장방형 블록... 있어야 한다.                                                                                                                                                                                                                                                             +|                                                                                                                                                                                                                                                   |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 나) 피트 바닥... 부품 사이의 수직거리는 0.5 m...수평거리가 0.15 m 이내... 0.1 m.. 있다.(중략)                                                                                                                                                                                                           +|                                                                                                                                                                                                                                                   |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 다) 피트에 고정...부품...과 카...부품...0.3 m...다.』                                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                   |                     |                                                                   | 
 정기검사 시 분동적용 항목의 검사 방법                                                                                                       |                                                                                                                              | <div> ‣ 정기검사 시 분동적용 항목의 검사 방법                                                                                                                                                                                                                                                           +| ▸ 무부하 상태에서 측정                                                                                                                                                                                                                           +| 2016년 2차 표준화   | [별표 1] 9.11.5, [별표 8] 1.2.1                                   | 기타
                                                                                                                                             |                                                                                                                              |  - 의도하지않은 카의 움직임에 대한 보호(100%하중 적용) 등</div><div><br></div>[별표 1] 9.11.5                                                                                                                                                                                                           +|    (승강기검사기준 별표8 1.2항에 따라 하중시험은 무부하 상태에서 실시)                                                                                                                                                                            |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 개문출발방지수단의 정지거리                                                                                                                                                                                                                                                                             +|                                                                                                                                                                                                                                                   |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 『이 수단은 다음과 같은 거리에서 카를 정지시켜야 한다.... 이 값은 정격하중의 100%까지 카에 어떤 하중을 싣고 얻어져야 한다.』                                                                                                                                                                            +|                                                                                                                                                                                                                                                   |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | [별표 8] 1.2.1                                                                                                                                                                                                                                                                                          +|                                                                                                                                                                                                                                                   |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 『전기식 엘리베이터의 정기검사 항목은 1.1.1부터 1.1.6까지에 따른다. 다만, 하중시험은 무부하 상태에서 이루어져야 한다.』                                                                                                                                                                                  |                                                                                                                                                                                                                                                   |                     |                                                                   | 
 무부하 상태에서 측정 (승강기검사기준 별표8 1.2항에 따라 하중시험은 무부하 상태에서 실시) ‣ 브레이크 제동 감속도 측정 장비 도입 필요         | 브레이크 제동 감속도 측정 장비 도입 필요                                                                                     | [별표 1] 12.4.2.1                                                                                                                                                                                                                                                                                       +| ‣ 감속도 측정 장비 제작 및 구매 예정                                                                                                                                                                                                              | 2016년 제2차 표준화 | [별표 1] 12.4.2.1                                                 | 기타
                                                                                                                                             |                                                                                                                              | 전자브레이크에 의한 카의 감속도                                                                                                                                                                                                                                                                         +|                                                                                                                                                                                                                                                   |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 『 브레이크는 자체적으로 카가 정격속도로 정격하중의 125%를 싣고 하강방향으로 운행될 때 구동기를 정지시킬 수 있어야 한다. 이 조건에서, 카의 감속도는 비상정지장치의 작동 또는 카가 완충기에 정지할 때 발생되는 감속도를 초과하지 않아야 한다.』                                                           |                                                                                                                                                                                                                                                   |                     |                                                                   | 
 전 부하 압력 측정 방법 - 정격하중으로 상승 중 - 정격하중으로 최상층 도착 후                                                                 | 전 부하 압력 측정 방법                                                                                                       | ‣ 전 부하 압력 측정 방법                                                                                                                                                                                                                                                                                +| ‣ 현장측정 불가                                                                                                                                                                                                                                  +| 2016년 제2차 표준화 | [별표2] 3.28                                                      | 기계실
                                                                                                                                             |                                                                                                                              |  - 정격하중으로 상승 중                                                                                                                                                                                                                                                                                 +|   (정격하중의 최상층에서의 유압잭에 연결된 관의 정압력으로 현장측정 불가)                                                                                                                                                                        +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              |  - 정격하중으로 최상층 도착 후<div><br></div><div>[별표2] 3.28                                                                                                                                                                                                                                          +|                                                                                                                                                                                                                                                  +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 전 부하 압력(full load pressure)                                                                                                                                                                                                                                                                        +| ‣ 확인방법 : 정격하중(100%)의 카가 최상층에 도착하기전의 압력을 확인                                                                                                                                                                             +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 정격하중의 카가 최상층에 위치할 때 유압잭에 직접 연결된 관에 작용하는 정압력</div>                                                                                                                                                                                                                       | ‣ 검사판정 : 기술서류의 전 부하압력보다 큰 경우 지적                                                                                                                                                                                              |                     |                                                                   | 
 엘리베이터 종류 변경의 경우 수시검사 적용                                                                                                   |                                                                                                                              | 『승강기시설안전관리법』[시행규칙]                                                                                                                                                                                                                                                                      +| ‣ 기준 적용이 완화되는 경우 : 정기검사                                                                                                                                                                                                           +| 2016년 제2차 표준화 |                                                                   | 기타
